;;;;CUADRO DE CONTROL DE AVANCES DE MANTENIMIENTO A T1402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FRM-BCA-19.370.3.OS109;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fecha: 25/02/2020;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Versión: 0;;;
TAG;ZONA;RETIRAR AISLAMIENTO EXTERNO;INSTALAR SAS;APERTURA DE MANHOLES;INSTALAR FACILIDADES;"RETIRO 
INTERNOS";ARMAR ANDAMIOS INTERNOS ;RETIRO LG´S;LIMPIEZA;;INSPECCIÓN;;;RECOMENDACIÓN TÉCNICA POST-INSPECCIÓN;;EJECUCIÓN DE RECOMENDACIÓN TÉCNICA;;INSTALACIÓN LINING;PRUEBA NEUMATICA LINING;INSTALACIÓN INTERNOS ;MTTO LG´S;INSTALACIÓN LG´S;PRUEBA   DISTRIBUIDOR EN PISO;PRUEBA ROCIADO  DISTRIBUIDOR;PRUEBA GOTEO DE  COLECTOR;RETIRAR FACILIDADES ;DESARMAR ANDAMIOS INTERNOS;CIERRE DE MANHOLES;PINTURA / AISLAMIENT;RETIRO SAS;LIMPIEZA Y PINTURA A BASES DE CONCRETO;ETIQUETA DE BRIDAS;REGISTRO DE TRABAJO;OBSERVACIONES;;;
;;;;;;;;;INTERNA;EXTERNA;INTERNA;EXTERNA;END;INTERNA;EXTERNA;INTERNA;EXTERNA;;;;;;;;;;;;;;;;;;;;
T1402;ZONA CIMA ;NA;OK;NA;NA;NA;NA;NA;NA;OK;NA;OK;OK;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;X;NA;NA;X;X;NA;X;X;NO SE ABRIRAN LOS MANHOLES POR NO DESCONTAMINACIÓN;;;
T1402;ZONA  MEDIA;NA;OK;NA;NA;NA;NA;NA;NA;OK;NA;OK;OK;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;X;NA;NA;X;X;NA;X;X;MANTENIMIENTO LG E INSPECCION EXTERNA EN CADA LAMINA ZONAS DE 2in X 2in;;;
T1402;ZONA DE FONDO;NA;OK;NA;NA;NA;NA;X;NA;OK;NA;OK;OK;NA;;NA;;NA;NA;NA;X;X;NA;NA;NA;X;NA;NA;X;X;NA;X;X;;;;
T1405;ZONA CIMA ;X;OK;OK;X;X;;NA;X;X;X;X;X;;;;;;;X;NA;NA;NA;NA;X;X;X;X;X;X;NA;X;X;;;;
T1405;ZONA  MEDIA;X;OK;OK;X;X;;NA;X;X;X;X;X;;;;;;;X;NA;NA;NA;NA;X;X;X;X;X;X;NA;X;X;;;;
T1405;ZONA DE FONDO;X;OK;OK;X;X;;NA;X;X;X;X;X;;;;;;;X;NA;NA;NA;NA;X;X;X;X;X;X;NA;X;X;;;;
